nodeId	coords	edges
6246299_7	[47.372321473985345, 8.52662129784514, 459.18161769676954]	['4858966_0', '6114785_1', '6115193_1', '4869541_10']
4869757_0	[47.367733991949, 8.539170809939636, 456.1411138186231]	['4869757_1', '4859148_1', '4869770_0']
6115946_0	[47.37645520307002, 8.534667634880257, 456.5495823957026]	['4868902_0', '6115946_7', '6115946_7', '6244918_2']
4864574_0	[47.36930088879663, 8.517293672104358, 464.0349848838523]	['4864574_1', '4862537_0', '4868316_0']
4864574_1	[47.36937395507337, 8.517354559177663, 463.6907304627821]	['4864574_0', '4868311_9', '4864578_8']
4862087_1	[47.37143991481929, 8.519891434639346, 461.191716668196]	['4862087_0', '4864808_0', '4859190_2', '6245349_1']
4862087_0	[47.37112601151006, 8.52027309794615, 461.279163393192]	['4862087_1', '4869810_0', '4866231_4', '4862100_0']
4869287_2	[47.38242422585798, 8.535983547184042, 453.6364584136754]	['4859296_0', '4865233_0', '4858577_0']
4857453_0	[47.36764304040867, 8.520816629988017, 462.11582854483277]	['4869761_0', '4857453_3', '4866616_2', '4869762_0']
4857453_3	[47.36716829087215, 8.519930518059535, 462.60297463741153]	['4857453_0', '4864609_0', '6112383_6']
6103979_7	[47.365470223273704, 8.552387388179268, 471.610766030848]	['6104671_0', '4862677_0', '6103979_0', '4861011_0']
4856979_0	[47.386287643150744, 8.535232522623899, 468.0739846099168]	['4856979_1', '4861632_1', '4863766_7']
4856979_1	[47.3862835605961, 8.535320582299878, 467.9809067565948]	['4856979_0', '4863942_0', '4867585_10', '6129715_0']
4866242_3	[47.37007474109437, 8.511876523560746, 468.9533789027482]	['4858140_5', '4858539_4', '4862091_4', '4862535_4']
6166677_1	[47.37900692863898, 8.524745927820085, 455.8478135159239]	['4869318_2', '4858155_0', '4869325_0']
6114826_1	[47.37313259443141, 8.527987113167015, 458.5030978722498]	['4858499_5', '4869541_10', '4862500_0']
6051547_7	[47.383844425369745, 8.512073069980044, 453.04473794903606]	['6051547_0', '6051548_4', '6051546_4']
6051547_0	[47.3831140018855, 8.513843144643626, 452.9208952765912]	['4865228_8', '6051547_7', '6037025_14']
6246058_0	[47.375264410077214, 8.518583994010065, 459.46891217585653]	['6114778_1', '6246057_18', '4858191_0']
4863759_18	[47.385354433578556, 8.521264159791636, 459.6175076123327]	['6159818_0', '6265794_3', '4863759_10', '4863759_21']
4863759_10	[47.38596818843134, 8.52189958727777, 459.61524345260113]	['6159820_0', '4863759_18', '4863759_0', '6159817_1']
6125028_0	[47.390091338440406, 8.545716327185842, 536.7193462727591]	['6125029_1']
6036683_2	[47.377620466223746, 8.51194451822668, 459.2133451551199]	['6036679_4', '6036739_5', '4861364_3']
4862486_1	[47.36721455496402, 8.540225090471855, 455.73542455397546]	['4869770_0', '4859148_0', '4864610_4']
4859286_0	[47.38380977170125, 8.54051531294224, 474.5612248312682]	['6246583_1', '4869272_0', '4859283_0']
4862680_5	[47.36544220883624, 8.521581112174182, 463.73987909965217]	['6112343_1', '4860984_8', '4861000_7']
4862220_0	[47.36602743297168, 8.533502966649303, 455.85733575746417]	['4862686_0', '4860995_2', '4862220_2', '4864437_0']
